OrderID,Date,CustomerID,CustomerName,Gender,Age,Region,State,City,Category,SubCategory,ProductID,ProductName,Brand,Quantity,UnitPrice,Discount,Cost,Sales,Profit,PaymentMethod,Segment,ShippingMode,DeliveryDays,Returned,Rating
ORD00013,2024-10-19,CUST1012,Customer 13,Male,60,West,Maharashtra,Mumbai,Furniture,Table,P541,Table Model,Samsung,4,1759,0.0,1319.25,7036.0,1759.0,Card,Corporate,Express,7,Yes,4.5
ORD00014,2024-11-26,CUST1013,Customer 14,Male,30,North,Delhi,New Delhi,Electronics,Phone,P649,Phone Model,Nike,3,1095,0.05,821.25,3120.75,657.0,UPI,Corporate,Standard,3,No,3.9
ORD00015,2024-02-08,CUST1014,Customer 15,Male,28,West,Maharashtra,Mumbai,Electronics,Laptop,P516,Laptop Model,Nike,5,320,0.0,240.0,1600.0,400.0,Card,Consumer,Express,1,Yes,4.1
ORD00016,2024-07-18,CUST1015,Customer 16,Male,30,East,West Bengal,Kolkata,Groceries,Milk,P403,Milk Model,HP,4,4752,0.15,3564.0,16156.8,1900.8,UPI,Home Office,Standard,6,No,3.6
ORD00017,2024-10-26,CUST1016,Customer 17,Male,56,West,Maharashtra,Mumbai,Furniture,Chair,P169,Chair Model,HP,5,856,0.05,642.0,4066.0,856.0,Card,Consumer,Standard,5,Yes,4.4
ORD00018,2024-08-02,CUST1017,Customer 18,Female,26,East,West Bengal,Kolkata,Clothing,Shirt,P787,Shirt Model,Samsung,3,2155,0.1,1616.25,5818.5,969.75,Card,Corporate,Standard,1,No,4.4
ORD00019,2024-10-15,CUST1018,Customer 19,Female,22,North,Delhi,New Delhi,Electronics,Laptop,P350,Laptop Model,Samsung,5,2372,0.05,1779.0,11267.0,2372.0,Card,Consumer,Express,7,No,4.4
ORD00020,2024-11-30,CUST1019,Customer 20,Male,53,North,Delhi,New Delhi,Clothing,Shirt,P259,Shirt Model,Samsung,2,2366,0.0,1774.5,4732.0,1183.0,Card,Home Office,Standard,6,No,3.8
ORD00021,2024-11-20,CUST1020,Customer 21,Female,20,East,West Bengal,Kolkata,Groceries,Milk,P103,Milk Model,Samsung,1,956,0.15,717.0,812.6,95.6,UPI,Home Office,Express,2,No,4.3
ORD00022,2024-08-06,CUST1021,Customer 22,Female,55,North,Delhi,New Delhi,Electronics,Laptop,P665,Laptop Model,HP,2,4669,0.0,3501.75,9338.0,2334.5,Card,Consumer,Standard,3,No,4.8
ORD00023,2024-01-21,CUST1022,Customer 23,Male,33,East,West Bengal,Kolkata,Furniture,Chair,P985,Chair Model,HP,1,3097,0.15,2322.75,2632.45,309.7,UPI,Corporate,Standard,2,No,4.7
ORD00024,2024-07-29,CUST1023,Customer 24,Female,32,South,Tamil Nadu,Chennai,Clothing,Shirt,P304,Shirt Model,Nike,1,3333,0.0,2499.75,3333.0,833.25,Card,Corporate,Standard,2,Yes,4.5
ORD00025,2024-07-23,CUST1024,Customer 25,Female,19,East,West Bengal,Kolkata,Clothing,Shirt,P218,Shirt Model,Samsung,3,3076,0.15,2307.0,7843.8,922.8,UPI,Home Office,Express,1,Yes,4.4
ORD00026,2024-06-25,CUST1025,Customer 26,Female,20,East,West Bengal,Kolkata,Groceries,Rice,P825,Rice Model,Nike,4,4923,0.05,3692.25,18707.4,3938.4,UPI,Home Office,Standard,3,No,3.6
ORD00027,2024-12-06,CUST1026,Customer 27,Female,38,East,West Bengal,Kolkata,Clothing,Shirt,P512,Shirt Model,Samsung,3,4354,0.1,3265.5,11755.8,1959.3,Cash,Consumer,Standard,4,No,4.5
ORD00028,2024-03-30,CUST1027,Customer 28,Female,55,East,West Bengal,Kolkata,Groceries,Rice,P721,Rice Model,Samsung,3,2550,0.05,1912.5,7267.5,1530.0,Card,Corporate,Express,6,Yes,4.3
ORD00029,2024-03-27,CUST1028,Customer 29,Male,30,North,Delhi,New Delhi,Clothing,Shoes,P250,Shoes Model,Dell,1,2124,0.1,1593.0,1911.6,318.6,UPI,Consumer,Express,5,Yes,4.2
ORD00030,2024-11-18,CUST1029,Customer 30,Male,24,South,Tamil Nadu,Chennai,Groceries,Milk,P897,Milk Model,Nike,4,2198,0.05,1648.5,8352.4,1758.4,UPI,Consumer,Express,1,Yes,4.9
ORD00031,2024-03-03,CUST1030,Customer 31,Female,57,West,Maharashtra,Mumbai,Furniture,Table,P934,Table Model,Nike,5,4778,0.1,3583.5,21501.0,3583.5,Cash,Corporate,Standard,6,No,4.2
ORD00032,2024-05-06,CUST1031,Customer 32,Female,33,East,West Bengal,Kolkata,Groceries,Rice,P378,Rice Model,Samsung,3,3803,0.0,2852.25,11409.0,2852.25,Card,Home Office,Standard,2,Yes,3.8
ORD00033,2024-12-21,CUST1032,Customer 33,Female,44,South,Tamil Nadu,Chennai,Furniture,Chair,P163,Chair Model,HP,4,3539,0.1,2654.25,12740.4,2123.4,Card,Corporate,Standard,7,No,4.2
ORD00034,2024-06-29,CUST1033,Customer 34,Female,32,East,West Bengal,Kolkata,Groceries,Milk,P379,Milk Model,Nike,5,4673,0.05,3504.75,22196.75,4673.0,Card,Consumer,Express,3,No,4.6
ORD00035,2024-08-27,CUST1034,Customer 35,Male,59,South,Tamil Nadu,Chennai,Electronics,Phone,P538,Phone Model,HP,5,4823,0.0,3617.25,24115.0,6028.75,Card,Consumer,Standard,3,No,4.0
ORD00036,2024-08-20,CUST1035,Customer 36,Male,48,East,West Bengal,Kolkata,Clothing,Shoes,P119,Shoes Model,Dell,3,3653,0.1,2739.75,9863.1,1643.85,Card,Consumer,Standard,7,Yes,4.6
ORD00037,2024-05-06,CUST1036,Customer 37,Male,54,South,Tamil Nadu,Chennai,Electronics,Laptop,P323,Laptop Model,Nike,2,1234,0.15,925.5,2097.8,246.8,Cash,Corporate,Express,2,Yes,4.7
ORD00038,2024-03-24,CUST1037,Customer 38,Female,30,East,West Bengal,Kolkata,Electronics,Laptop,P177,Laptop Model,HP,3,4916,0.15,3687.0,12535.8,1474.8,UPI,Home Office,Express,7,Yes,4.7
ORD00039,2024-10-16,CUST1038,Customer 39,Male,44,North,Delhi,New Delhi,Clothing,Shoes,P942,Shoes Model,Nike,3,764,0.1,573.0,2062.8,343.8,UPI,Corporate,Express,6,No,4.6
ORD00040,2024-08-10,CUST1039,Customer 40,Female,33,South,Tamil Nadu,Chennai,Clothing,Shoes,P950,Shoes Model,Dell,4,3768,0.1,2826.0,13564.8,2260.8,Card,Corporate,Standard,7,No,4.4
ORD00041,2024-12-08,CUST1040,Customer 41,Female,31,West,Maharashtra,Mumbai,Clothing,Shirt,P463,Shirt Model,Samsung,4,2862,0.05,2146.5,10875.6,2289.6,Card,Corporate,Express,5,Yes,4.3
ORD00042,2024-04-07,CUST1041,Customer 42,Female,59,North,Delhi,New Delhi,Furniture,Table,P828,Table Model,Nike,4,4748,0.05,3561.0,18042.4,3798.4,Card,Consumer,Standard,3,Yes,4.1
ORD00043,2024-05-04,CUST1042,Customer 43,Female,53,East,West Bengal,Kolkata,Clothing,Shoes,P438,Shoes Model,Samsung,5,4549,0.1,3411.75,20470.5,3411.75,Cash,Corporate,Express,3,No,3.8
ORD00044,2024-04-08,CUST1043,Customer 44,Female,55,East,West Bengal,Kolkata,Electronics,Laptop,P878,Laptop Model,Samsung,2,1972,0.15,1479.0,3352.4,394.4,UPI,Consumer,Express,2,No,3.8
ORD00045,2024-01-08,CUST1044,Customer 45,Male,58,South,Tamil Nadu,Chennai,Clothing,Shirt,P989,Shirt Model,Nike,1,4733,0.1,3549.75,4259.7,709.95,UPI,Consumer,Express,4,No,4.2
ORD00046,2024-04-04,CUST1045,Customer 46,Female,22,North,Delhi,New Delhi,Clothing,Shoes,P690,Shoes Model,Dell,1,735,0.15,551.25,624.75,73.5,UPI,Consumer,Express,1,Yes,3.7
ORD00047,2024-08-01,CUST1046,Customer 47,Female,54,South,Tamil Nadu,Chennai,Groceries,Milk,P735,Milk Model,Dell,4,2635,0.15,1976.25,8959.0,1054.0,Cash,Home Office,Standard,7,Yes,4.4
ORD00048,2024-05-15,CUST1047,Customer 48,Male,18,North,Delhi,New Delhi,Furniture,Chair,P518,Chair Model,Nike,2,4721,0.0,3540.75,9442.0,2360.5,Cash,Home Office,Express,3,Yes,3.8
ORD00049,2024-12-27,CUST1048,Customer 49,Female,25,East,West Bengal,Kolkata,Groceries,Rice,P657,Rice Model,HP,2,2367,0.05,1775.25,4497.3,946.8,Cash,Consumer,Express,7,Yes,3.6
ORD00050,2024-03-25,CUST1049,Customer 50,Female,35,East,West Bengal,Kolkata,Clothing,Shoes,P612,Shoes Model,Nike,1,4039,0.1,3029.25,3635.1,605.85,Card,Consumer,Standard,4,No,4.4
ORD00051,2024-01-14,CUST1050,Customer 51,Male,48,North,Delhi,New Delhi,Furniture,Chair,P631,Chair Model,Nike,3,4920,0.0,3690.0,14760.0,3690.0,Card,Consumer,Express,6,No,5.0
ORD00052,2024-08-28,CUST1051,Customer 52,Female,44,East,West Bengal,Kolkata,Groceries,Milk,P810,Milk Model,Nike,3,1056,0.05,792.0,3009.6,633.6,Card,Home Office,Express,7,Yes,4.2
ORD00053,2024-06-10,CUST1052,Customer 53,Female,44,East,West Bengal,Kolkata,Clothing,Shirt,P155,Shirt Model,HP,4,4415,0.0,3311.25,17660.0,4415.0,Cash,Corporate,Express,6,No,4.6
ORD00054,2024-04-14,CUST1053,Customer 54,Male,58,East,West Bengal,Kolkata,Furniture,Table,P723,Table Model,HP,4,4170,0.0,3127.5,16680.0,4170.0,Cash,Consumer,Express,5,Yes,4.3
ORD00055,2024-02-17,CUST1054,Customer 55,Female,50,South,Tamil Nadu,Chennai,Electronics,Phone,P822,Phone Model,Samsung,1,1461,0.15,1095.75,1241.85,146.1,Card,Corporate,Express,2,No,4.3
ORD00056,2024-07-15,CUST1055,Customer 56,Female,18,South,Tamil Nadu,Chennai,Furniture,Chair,P389,Chair Model,Samsung,3,3599,0.1,2699.25,9717.3,1619.55,Cash,Home Office,Express,7,Yes,4.2
ORD00057,2024-09-04,CUST1056,Customer 57,Male,54,East,West Bengal,Kolkata,Clothing,Shoes,P492,Shoes Model,HP,4,2836,0.05,2127.0,10776.8,2268.8,Card,Consumer,Express,6,No,4.6
ORD00058,2024-07-14,CUST1057,Customer 58,Male,46,West,Maharashtra,Mumbai,Furniture,Table,P202,Table Model,Nike,1,1234,0.1,925.5,1110.6,185.1,UPI,Home Office,Standard,4,Yes,3.6
ORD00059,2024-05-15,CUST1058,Customer 59,Female,58,East,West Bengal,Kolkata,Groceries,Rice,P835,Rice Model,Nike,3,4571,0.15,3428.25,11656.05,1371.3,Cash,Consumer,Standard,2,No,5.0
ORD00060,2024-02-16,CUST1059,Customer 60,Male,20,West,Maharashtra,Mumbai,Electronics,Laptop,P432,Laptop Model,Dell,4,1562,0.1,1171.5,5623.2,937.2,Card,Corporate,Express,4,Yes,3.9
ORD00061,2024-07-29,CUST1060,Customer 61,Female,55,South,Tamil Nadu,Chennai,Furniture,Chair,P246,Chair Model,HP,1,3333,0.05,2499.75,3166.35,666.6,Card,Home Office,Express,4,No,4.5
ORD00062,2024-08-26,CUST1061,Customer 62,Female,34,East,West Bengal,Kolkata,Furniture,Chair,P567,Chair Model,Samsung,4,3030,0.1,2272.5,10908.0,1818.0,UPI,Corporate,Express,1,Yes,4.1
ORD00063,2024-07-02,CUST1062,Customer 63,Male,56,East,West Bengal,Kolkata,Clothing,Shirt,P863,Shirt Model,Nike,4,2448,0.0,1836.0,9792.0,2448.0,Card,Consumer,Express,2,Yes,4.4
ORD00064,2024-12-13,CUST1063,Customer 64,Female,26,South,Tamil Nadu,Chennai,Electronics,Laptop,P192,Laptop Model,Samsung,3,3811,0.0,2858.25,11433.0,2858.25,Card,Home Office,Express,2,Yes,3.7
ORD00065,2024-10-03,CUST1064,Customer 65,Female,25,East,West Bengal,Kolkata,Clothing,Shirt,P579,Shirt Model,Dell,3,4147,0.1,3110.25,11196.9,1866.15,UPI,Consumer,Express,7,No,3.6
ORD00066,2024-07-21,CUST1065,Customer 66,Female,58,North,Delhi,New Delhi,Clothing,Shirt,P480,Shirt Model,Dell,4,3219,0.1,2414.25,11588.4,1931.4,Cash,Consumer,Express,1,No,4.9
ORD00067,2024-04-23,CUST1066,Customer 67,Male,20,North,Delhi,New Delhi,Groceries,Milk,P411,Milk Model,Nike,4,1155,0.05,866.25,4389.0,924.0,UPI,Consumer,Standard,5,Yes,4.1
ORD00068,2024-07-08,CUST1067,Customer 68,Female,20,West,Maharashtra,Mumbai,Furniture,Table,P806,Table Model,Samsung,1,4208,0.15,3156.0,3576.8,420.8,UPI,Corporate,Express,2,No,3.6
ORD00069,2024-12-17,CUST1068,Customer 69,Male,47,East,West Bengal,Kolkata,Clothing,Shirt,P193,Shirt Model,HP,4,2460,0.05,1845.0,9348.0,1968.0,Cash,Home Office,Standard,1,No,3.9
ORD00070,2024-03-05,CUST1069,Customer 70,Female,27,South,Tamil Nadu,Chennai,Electronics,Laptop,P907,Laptop Model,Dell,5,1969,0.05,1476.75,9352.75,1969.0,Card,Consumer,Standard,5,No,4.7
ORD00071,2024-02-26,CUST1070,Customer 71,Male,29,North,Delhi,New Delhi,Furniture,Chair,P371,Chair Model,Dell,3,2149,0.1,1611.75,5802.3,967.05,UPI,Home Office,Express,5,Yes,4.6
ORD00072,2024-08-31,CUST1071,Customer 72,Male,60,West,Maharashtra,Mumbai,Clothing,Shirt,P633,Shirt Model,Samsung,4,4327,0.05,3245.25,16442.6,3461.6,Card,Home Office,Standard,1,No,4.8
ORD00073,2024-08-06,CUST1072,Customer 73,Male,22,North,Delhi,New Delhi,Groceries,Milk,P229,Milk Model,Samsung,1,861,0.1,645.75,774.9,129.15,Cash,Home Office,Express,4,No,4.2
ORD00074,2024-11-05,CUST1073,Customer 74,Female,32,West,Maharashtra,Mumbai,Electronics,Laptop,P523,Laptop Model,Samsung,5,1961,0.15,1470.75,8334.25,980.5,Card,Corporate,Express,6,Yes,4.0
ORD00075,2024-06-09,CUST1074,Customer 75,Male,23,East,West Bengal,Kolkata,Clothing,Shirt,P542,Shirt Model,Dell,4,749,0.0,561.75,2996.0,749.0,Cash,Home Office,Express,7,Yes,4.3
ORD00076,2024-10-27,CUST1075,Customer 76,Female,56,East,West Bengal,Kolkata,Electronics,Phone,P419,Phone Model,Samsung,3,3664,0.0,2748.0,10992.0,2748.0,UPI,Home Office,Standard,2,No,3.8
ORD00077,2024-02-25,CUST1076,Customer 77,Female,53,East,West Bengal,Kolkata,Clothing,Shirt,P885,Shirt Model,Dell,3,4903,0.05,3677.25,13973.55,2941.8,Cash,Home Office,Express,1,Yes,3.9
ORD00078,2024-06-07,CUST1077,Customer 78,Male,27,East,West Bengal,Kolkata,Clothing,Shirt,P858,Shirt Model,Dell,2,1373,0.15,1029.75,2334.1,274.6,UPI,Home Office,Standard,4,No,4.2
ORD00079,2024-03-21,CUST1078,Customer 79,Male,28,East,West Bengal,Kolkata,Clothing,Shoes,P872,Shoes Model,Dell,5,895,0.0,671.25,4475.0,1118.75,Cash,Consumer,Express,4,No,4.2
ORD00080,2024-08-14,CUST1079,Customer 80,Female,25,West,Maharashtra,Mumbai,Clothing,Shirt,P390,Shirt Model,Nike,5,1132,0.1,849.0,5094.0,849.0,Cash,Home Office,Express,1,Yes,4.1
ORD00081,2024-11-02,CUST1080,Customer 81,Female,36,North,Delhi,New Delhi,Electronics,Laptop,P435,Laptop Model,Dell,3,1930,0.05,1447.5,5500.5,1158.0,UPI,Corporate,Express,2,Yes,4.1
ORD00082,2024-12-26,CUST1081,Customer 82,Male,47,South,Tamil Nadu,Chennai,Clothing,Shirt,P179,Shirt Model,Samsung,4,546,0.15,409.5,1856.4,218.4,Cash,Corporate,Express,6,No,3.9
ORD00083,2024-07-26,CUST1082,Customer 83,Male,45,North,Delhi,New Delhi,Clothing,Shirt,P964,Shirt Model,Dell,5,3969,0.1,2976.75,17860.5,2976.75,UPI,Corporate,Express,5,Yes,4.1
ORD00084,2024-06-07,CUST1083,Customer 84,Male,40,East,West Bengal,Kolkata,Furniture,Table,P459,Table Model,HP,2,825,0.0,618.75,1650.0,412.5,UPI,Consumer,Standard,3,Yes,3.8
ORD00085,2024-03-19,CUST1084,Customer 85,Female,58,North,Delhi,New Delhi,Furniture,Table,P423,Table Model,HP,4,4818,0.15,3613.5,16381.2,1927.2,Card,Consumer,Express,4,No,4.7
ORD00086,2024-10-29,CUST1085,Customer 86,Male,21,North,Delhi,New Delhi,Clothing,Shirt,P477,Shirt Model,Samsung,3,3982,0.15,2986.5,10154.1,1194.6,UPI,Home Office,Standard,5,No,4.2
ORD00087,2024-10-10,CUST1086,Customer 87,Male,46,North,Delhi,New Delhi,Groceries,Rice,P205,Rice Model,Samsung,3,4096,0.05,3072.0,11673.6,2457.6,Cash,Consumer,Standard,1,Yes,4.6
ORD00088,2024-08-12,CUST1087,Customer 88,Female,56,South,Tamil Nadu,Chennai,Clothing,Shoes,P153,Shoes Model,Samsung,3,3373,0.15,2529.75,8601.15,1011.9,UPI,Corporate,Standard,5,No,3.9
ORD00089,2024-12-02,CUST1088,Customer 89,Female,59,South,Tamil Nadu,Chennai,Clothing,Shirt,P815,Shirt Model,Nike,5,1358,0.1,1018.5,6111.0,1018.5,UPI,Home Office,Standard,3,No,4.5
ORD00090,2024-06-17,CUST1089,Customer 90,Female,37,South,Tamil Nadu,Chennai,Electronics,Phone,P284,Phone Model,HP,5,3164,0.0,2373.0,15820.0,3955.0,Card,Corporate,Standard,2,Yes,3.7
ORD00091,2024-05-31,CUST1090,Customer 91,Male,28,North,Delhi,New Delhi,Electronics,Phone,P285,Phone Model,HP,5,1273,0.15,954.75,5410.25,636.5,Cash,Corporate,Standard,4,No,4.5
ORD00092,2024-05-01,CUST1091,Customer 92,Female,48,West,Maharashtra,Mumbai,Clothing,Shoes,P955,Shoes Model,HP,2,4574,0.05,3430.5,8690.6,1829.6,Card,Home Office,Express,4,No,4.7
ORD00093,2024-09-14,CUST1092,Customer 93,Male,59,West,Maharashtra,Mumbai,Furniture,Chair,P592,Chair Model,Samsung,5,1333,0.1,999.75,5998.5,999.75,Cash,Consumer,Standard,3,Yes,4.6
ORD00094,2024-05-19,CUST1093,Customer 94,Female,19,West,Maharashtra,Mumbai,Furniture,Table,P524,Table Model,Dell,1,2018,0.15,1513.5,1715.3,201.8,Card,Home Office,Express,2,No,5.0
ORD00095,2024-07-10,CUST1094,Customer 95,Male,20,South,Tamil Nadu,Chennai,Electronics,Phone,P393,Phone Model,Nike,1,2946,0.05,2209.5,2798.7,589.2,Cash,Consumer,Express,4,Yes,4.9
ORD00096,2024-01-10,CUST1095,Customer 96,Male,36,East,West Bengal,Kolkata,Furniture,Chair,P343,Chair Model,Samsung,5,4523,0.15,3392.25,19222.75,2261.5,UPI,Consumer,Standard,4,No,3.6
ORD00097,2024-09-12,CUST1096,Customer 97,Female,33,North,Delhi,New Delhi,Furniture,Chair,P684,Chair Model,Nike,3,3716,0.0,2787.0,11148.0,2787.0,UPI,Home Office,Standard,5,No,3.6
ORD00098,2024-09-26,CUST1097,Customer 98,Female,19,North,Delhi,New Delhi,Groceries,Milk,P465,Milk Model,Dell,1,3369,0.1,2526.75,3032.1,505.35,Card,Consumer,Standard,7,No,3.7
ORD00099,2024-06-29,CUST1098,Customer 99,Male,47,East,West Bengal,Kolkata,Furniture,Table,P137,Table Model,Samsung,4,1693,0.05,1269.75,6433.4,1354.4,UPI,Consumer,Standard,1,No,4.9
ORD00100,2024-09-20,CUST1099,Customer 100,Female,21,West,Maharashtra,Mumbai,Groceries,Milk,P986,Milk Model,Samsung,1,1765,0.1,1323.75,1588.5,264.75,Card,Consumer,Express,4,No,4.6
ORD00101,2024-07-16,CUST1100,Customer 101,Male,45,East,West Bengal,Kolkata,Furniture,Table,P180,Table Model,Nike,4,3209,0.1,2406.75,11552.4,1925.4,Cash,Consumer,Express,3,Yes,3.6
ORD00102,2024-12-04,CUST1101,Customer 102,Female,40,East,West Bengal,Kolkata,Clothing,Shoes,P557,Shoes Model,Dell,5,3690,0.05,2767.5,17527.5,3690.0,Cash,Corporate,Express,3,Yes,3.6
ORD00103,2024-11-22,CUST1102,Customer 103,Male,26,West,Maharashtra,Mumbai,Clothing,Shirt,P168,Shirt Model,HP,1,1369,0.15,1026.75,1163.65,136.9,Cash,Corporate,Express,4,Yes,4.4
ORD00104,2024-12-13,CUST1103,Customer 104,Female,43,West,Maharashtra,Mumbai,Clothing,Shoes,P421,Shoes Model,Samsung,4,829,0.05,621.75,3150.2,663.2,UPI,Consumer,Standard,6,Yes,4.2
ORD00105,2024-07-17,CUST1104,Customer 105,Female,30,North,Delhi,New Delhi,Clothing,Shoes,P225,Shoes Model,HP,4,1957,0.1,1467.75,7045.2,1174.2,UPI,Corporate,Standard,6,No,5.0
ORD00106,2024-12-15,CUST1105,Customer 106,Female,28,East,West Bengal,Kolkata,Clothing,Shirt,P828,Shirt Model,HP,5,4641,0.1,3480.75,20884.5,3480.75,Card,Home Office,Standard,1,Yes,4.7
ORD00107,2024-05-01,CUST1106,Customer 107,Female,53,West,Maharashtra,Mumbai,Electronics,Phone,P232,Phone Model,Dell,5,4888,0.1,3666.0,21996.0,3666.0,UPI,Corporate,Express,6,No,4.3
ORD00108,2024-07-28,CUST1107,Customer 108,Female,26,North,Delhi,New Delhi,Furniture,Table,P999,Table Model,HP,1,3886,0.15,2914.5,3303.1,388.6,UPI,Corporate,Standard,7,Yes,4.3
ORD00109,2024-06-04,CUST1108,Customer 109,Male,34,South,Tamil Nadu,Chennai,Furniture,Table,P301,Table Model,Samsung,2,3034,0.1,2275.5,5461.2,910.2,UPI,Home Office,Express,5,Yes,4.3
ORD00110,2024-03-27,CUST1109,Customer 110,Male,20,South,Tamil Nadu,Chennai,Furniture,Table,P756,Table Model,Samsung,5,537,0.0,402.75,2685.0,671.25,Cash,Consumer,Express,5,Yes,4.2
ORD00111,2024-11-17,CUST1110,Customer 111,Female,22,East,West Bengal,Kolkata,Clothing,Shoes,P805,Shoes Model,Dell,2,3526,0.1,2644.5,6346.8,1057.8,UPI,Corporate,Express,4,No,3.8
ORD00112,2024-11-06,CUST1111,Customer 112,Female,50,South,Tamil Nadu,Chennai,Clothing,Shoes,P675,Shoes Model,Dell,3,3466,0.05,2599.5,9878.1,2079.6,Card,Consumer,Express,1,No,4.2
ORD00113,2024-03-13,CUST1112,Customer 113,Male,38,North,Delhi,New Delhi,Electronics,Phone,P691,Phone Model,Samsung,4,3625,0.05,2718.75,13775.0,2900.0,UPI,Consumer,Express,5,No,4.2
ORD00114,2024-06-06,CUST1113,Customer 114,Male,31,West,Maharashtra,Mumbai,Electronics,Laptop,P697,Laptop Model,Samsung,4,4340,0.15,3255.0,14756.0,1736.0,UPI,Consumer,Express,4,No,3.9
ORD00115,2024-01-05,CUST1114,Customer 115,Female,20,North,Delhi,New Delhi,Groceries,Rice,P510,Rice Model,Dell,3,3196,0.15,2397.0,8149.8,958.8,Cash,Home Office,Standard,3,No,3.6
ORD00116,2024-09-15,CUST1115,Customer 116,Female,39,West,Maharashtra,Mumbai,Clothing,Shirt,P671,Shirt Model,Samsung,2,992,0.15,744.0,1686.4,198.4,UPI,Consumer,Express,5,Yes,3.6
ORD00117,2024-03-11,CUST1116,Customer 117,Female,57,East,West Bengal,Kolkata,Groceries,Milk,P426,Milk Model,HP,2,4423,0.05,3317.25,8403.7,1769.2,Card,Home Office,Express,5,No,4.3
ORD00118,2024-09-17,CUST1117,Customer 118,Male,44,West,Maharashtra,Mumbai,Clothing,Shoes,P697,Shoes Model,Samsung,1,3217,0.1,2412.75,2895.3,482.55,Cash,Home Office,Standard,5,No,3.9
ORD00119,2024-12-01,CUST1118,Customer 119,Male,33,South,Tamil Nadu,Chennai,Electronics,Phone,P132,Phone Model,Dell,2,4494,0.15,3370.5,7639.8,898.8,UPI,Consumer,Express,3,No,3.7
ORD00120,2024-12-19,CUST1119,Customer 120,Female,60,South,Tamil Nadu,Chennai,Groceries,Milk,P589,Milk Model,Nike,1,1331,0.05,998.25,1264.45,266.2,Card,Consumer,Express,5,No,4.3
ORD00121,2024-12-12,CUST1120,Customer 121,Male,37,East,West Bengal,Kolkata,Groceries,Rice,P889,Rice Model,Samsung,2,2485,0.1,1863.75,4473.0,745.5,Cash,Consumer,Express,3,No,4.0
ORD00122,2024-05-20,CUST1121,Customer 122,Female,20,East,West Bengal,Kolkata,Electronics,Phone,P394,Phone Model,Dell,4,3027,0.05,2270.25,11502.6,2421.6,Card,Corporate,Express,6,No,3.8
ORD00123,2024-10-02,CUST1122,Customer 123,Male,60,East,West Bengal,Kolkata,Clothing,Shirt,P643,Shirt Model,HP,1,2160,0.05,1620.0,2052.0,432.0,Cash,Consumer,Standard,1,No,4.0
